Round,Accuracy (%),nt
9,0,19
9,0,20
9,0,21
9,0,22
9,0,23
9,0,24
9,0,25
9,0,26
9,0,27
9,0,28
9,0,29
9,0,30
10,0.33645587592554504,0
10,0.07112351440331062,1
10,0,2
10,0.1875,3
10,0,4
10,0,5
10,0,6
10,0,7
10,0,8
10,0.22142857142857142,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
10,0,21
10,0,22
10,0,23
10,0,24
10,0,25
10,0,26
10,0,27
10,0,28
10,0,29
10,0,30
11,0.3733140104649711,0
11,0.1347116653046171,1
11,0.27708333333333335,2
11,0,3
11,0.4479166666666667,4
11,0,5
11,0,6
11,0,7
11,0,8
11,0,9
11,0.36160714285714285,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
11,0,21
11,0,22
11,0,23
11,0,24
11,0,25
11,0,26
11,0,27
11,0,28
11,0,29
11,0,30
12,0.3446780967354539,0
12,0.06641309959694999,1
12,0,2
12,0.2,3
12,0,4
12,0.13802083333333334,5
12,0,6
12,0,7
12,0,8
12,0,9
12,0,10
12,0.22678571428571428,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
12,0,21
12,0,22
12,0,23
12,0,24
12,0,25
12,0,26
12,0,27
12,0,28
12,0,29
12,0,30
13,0.38970775806847996,0
13,0.13757415779444368,1
13,0.3547794117647059,2
13,0,3
13,0.22708333333333333,4
13,0,5
13,0.3854166666666667,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0.3892857142857143,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
13,0,21
13,0,22
13,0,23
13,0,24
13,0,25
13,0,26
13,0,27
13,0,28
13,0,29
13,0,30
14,0.40983566731648574,0
14,0.1513036143693471,1
14,0.2881887335526316,2
14,0.3492647058823529,3
14,0,4
14,0,5
14,0,6
14,0.13541666666666666,7
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0.27232142857142855,13
14,0,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
14,0,21
14,0,22
14,0,23
14,0,24
14,0,25
14,0,26
14,0,27
14,0,28
14,0,29
14,0,30
15,0.43597189393851987,0
15,0.13226143310778726,1
15,0.21484375,2
15,0.2134046052631579,3
15,0.3272058823529412,4
15,0,5
15,0,6
15,0,7
15,0,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0.3767857142857143,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
15,0,21
15,0,22
15,0,23
15,0,24
15,0,25
15,0,26
15,0,27
15,0,28
15,0,29
15,0,30
16,0.43404503864931926,0
16,0.15338325738187195,1
16,0.4657451923076923,2
16,0.3828125,3
16,0,4
16,0.3474264705882353,5
16,0,6
16,0,7
16,0,8
16,0,9
16,0,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0.2839285714285714,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
16,0,21
16,0,22
16,0,23
16,0,24
16,0,25
16,0,26
16,0,27
16,0,28
16,0,29
16,0,30
17,0.4612206452563739,0
17,0.13697332263145923,1
17,0.26077441077441077,2
17,0.2573450854700855,3
17,0.2630208333333333,4
17,0,5
17,0.33088235294117646,6
17,0,7
17,0,8
17,0,9
17,0,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
