Server round,Layer,Similarity
45,3,0.0
45,4,0.0
45,5,0.0
45,6,0.0
45,7,0.0
45,8,0.26581003934434627
45,9,0.22933406508612972
46,0,0.8016320254269163
46,1,0.5403927957995499
46,2,0.0
46,3,0.0
46,4,0.0
46,5,0.0
46,6,0.0
46,7,0.0
46,8,0.28725258052799657
46,9,0.07861511213191207
47,0,0.7884476208726099
47,1,0.6447542448238169
47,2,0.0
47,3,0.0
47,4,0.0
47,5,0.0
47,6,0.0
47,7,0.0
47,8,0.25851399459870456
47,9,0.21890957337661812
48,0,0.8484611867926243
48,1,0.35097386840981315
48,2,0.0
48,3,0.0
48,4,0.0
48,5,0.0
48,6,0.0
48,7,0.0
48,8,0.28521155930391845
48,9,0.17391294633408103
49,0,0.7904579547045811
49,1,0.4086557060289125
49,2,0.0
49,3,0.0
49,4,0.0
49,5,0.0
49,6,0.0
49,7,0.0
49,8,0.42602848726026005
49,9,0.33526702652450835
50,0,0.8532138542202455
50,1,0.31400269045059565
50,2,0.0
50,3,0.0
50,4,0.0
50,5,0.0
50,6,0.0
50,7,0.0
50,8,0.29322970417216476
50,9,0.1520349511654644
