Server round,Layer,Similarity
29,7,0.0
29,8,0.32935307552560816
29,9,0.2917655756346513
30,0,0.8400563925868383
30,1,0.47855074349949706
30,2,0.0
30,3,0.0
30,4,0.0
30,5,0.0
30,6,0.0
30,7,0.0
30,8,0.32358558319173875
30,9,0.37696557197362696
31,0,0.8817314029589537
31,1,0.5959462672255146
31,2,0.0
31,3,0.0
31,4,0.0
31,5,0.0
31,6,0.0
31,7,0.0
31,8,0.3576926573638546
31,9,0.28188497476548247
32,0,0.8659780940193667
32,1,0.5702853565068092
32,2,0.0
32,3,0.0
32,4,0.0
32,5,0.0
32,6,0.0
32,7,0.0
32,8,0.2553301188579461
32,9,0.17348252255961852
33,0,0.893133590568178
33,1,0.7744559778427168
33,2,0.0
33,3,0.0
33,4,0.0
33,5,0.0
33,6,0.0
33,7,0.0
33,8,0.3111625513134162
33,9,0.19082759337644176
34,0,0.8173604833369111
34,1,0.5415701753666272
34,2,0.0
34,3,0.0
34,4,0.0
34,5,0.0
34,6,0.0
34,7,0.0
34,8,0.2737135118679965
34,9,0.2550420049323279
35,0,0.8977561075840699
35,1,0.5072195939004608
35,2,0.0
35,3,0.0
35,4,0.0
35,5,0.0
35,6,0.0
35,7,0.0
35,8,0.4476018193353033
35,9,0.3829752051550104
36,0,0.7956968860454073
36,1,0.4845265757989187
36,2,0.0
36,3,0.0
36,4,0.0
36,5,0.0
36,6,0.0
36,7,0.0
36,8,0.2737934782150303
36,9,0.21001116935338118
37,0,0.8447566419104628
37,1,0.5440954075866483
37,2,0.0
37,3,0.0
37,4,0.0
37,5,0.0
37,6,0.0
37,7,0.0
37,8,0.3813998144128869
37,9,0.23270026759120135
38,0,0.8492477483711567
38,1,0.5273909182454041
38,2,0.0
38,3,0.0
38,4,0.0
38,5,0.0
38,6,0.0
38,7,0.0
38,8,0.26853976261785
38,9,0.31384556750398407
39,0,0.8426009236997777
39,1,0.41225875725064354
39,2,0.0
39,3,0.0
39,4,0.0
39,5,0.0
39,6,0.0
39,7,0.0
39,8,0.4529395677102619
39,9,0.3906615674210819
40,0,0.8701415432542641
40,1,0.33007998486812157
40,2,0.0
40,3,0.0
40,4,0.0
40,5,0.0
40,6,0.0
40,7,0.0
40,8,0.4362425649629927
40,9,0.3545118283720427
41,0,0.8358611200220013
41,1,0.2502393753254765
41,2,0.0
41,3,0.0
41,4,0.0
41,5,0.0
41,6,0.0
41,7,0.0
41,8,0.3073814647714343
41,9,0.26988539857790145
42,0,0.8186930980359063
42,1,0.30926787001537875
42,2,0.0
42,3,0.0
42,4,0.0
42,5,0.0
42,6,0.0
42,7,0.0
42,8,0.3939462372761165
42,9,0.20014200488360512
43,0,0.8188339928213876
43,1,0.4787081616120838
43,2,0.0
43,3,0.0
43,4,0.0
43,5,0.0
43,6,0.0
43,7,0.0
43,8,0.29941714467132013
43,9,0.22879395802766214
44,0,0.8367465520052123
44,1,0.4540710317229073
44,2,0.0
44,3,0.0
44,4,0.0
44,5,0.0
44,6,0.0
44,7,0.0
44,8,0.3643957850814894
44,9,0.3472548509548736
45,0,0.8554813953658466
45,1,0.3963166635357696
45,2,0.0
45,3,0.0
45,4,0.0
45,5,0.0
45,6,0.0
45,7,0.0
45,8,0.339561973772229
45,9,0.21470982999903487
46,0,0.8186666518420668
46,1,0.2506703465071849
46,2,0.0
46,3,0.0
46,4,0.0
46,5,0.0
46,6,0.0
46,7,0.0
46,8,0.2825755588380386
